path_idx	origin	label	A&B	C=A	C=A&B	C=B	M=A>B	a1	a1a1	a1a1b1	a1a1b1b1	a1b1	a1b1b1	b1	b1b1
5	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
5	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
5	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
6	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
6	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
6	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
6	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
6	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
7	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
7	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
7	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
7	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
7	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
8	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
8	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
8	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
8	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
8	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
9	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
9	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
9	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
9	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
9	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
10	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
10	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
10	16	A=[a1+a1];B=[b1+b1]	1	0	0	0	1	0	1	0	0	0	0	0	1
10	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
10	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
11	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
11	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
11	16	A=[a1+a1];B=[b1+b1]	1	0	0	0	1	0	1	0	0	0	0	0	1
11	16	B=[a1+a1,b1+b1]	1	0	0	1	0	0	1	0	0	0	0	0	1
11	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
11	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
12	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
12	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
12	16	B=[a1+a1,b1,b1]	1	0	0	3	0	0	1	0	0	0	0	2	0
12	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
12	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
12	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
13	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
13	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
13	16	B=[a1+a1,b1,b1]	1	0	0	3	0	0	1	0	0	0	0	2	0
13	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
13	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
13	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
14	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
14	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
14	16	B=[a1+a1,b1,b1]	1	0	0	3	0	0	1	0	0	0	0	2	0
14	16	B=[a1+a1+b1,b1]	1	0	0	1	0	0	0	1	0	0	0	1	0
14	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
14	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
15	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
15	16	A=[a1+a1];B=[b1,b1]	1	0	0	1	1	0	1	0	0	0	0	2	0
15	16	B=[a1+a1,b1,b1]	1	0	0	3	0	0	1	0	0	0	0	2	0
15	16	B=[a1+a1,b1+b1]	1	0	0	1	0	0	1	0	0	0	0	0	1
15	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
15	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
16	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
16	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
16	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
16	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
16	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
17	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
17	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
17	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
17	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
17	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
18	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
18	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
18	16	A=[a1+a1];B=[b1+b1]	1	0	0	0	1	0	1	0	0	0	0	0	1
18	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
18	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
19	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
19	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
19	16	A=[a1+a1];B=[b1+b1]	1	0	0	0	1	0	1	0	0	0	0	0	1
19	16	B=[a1+a1,b1+b1]	1	0	0	1	0	0	1	0	0	0	0	0	1
19	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
19	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
20	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
20	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
20	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
20	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
20	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
20	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
21	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
21	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
21	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
21	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
21	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
21	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
22	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
22	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
22	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
22	16	A=[a1];B=[a1+b1+b1]	1	0	0	0	1	1	0	0	0	0	1	0	0
22	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
22	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
23	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
23	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
23	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
23	16	A=[a1];B=[a1+b1+b1]	1	0	0	0	1	1	0	0	0	0	1	0	0
23	16	B=[a1,a1+b1+b1]	1	0	0	1	0	1	0	0	0	0	1	0	0
23	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
23	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
24	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
24	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
24	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
24	16	B=[a1,a1,b1+b1]	1	0	0	3	0	2	0	0	0	0	0	0	1
24	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
24	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
24	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
25	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
25	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
25	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
25	16	B=[a1,a1,b1+b1]	1	0	0	3	0	2	0	0	0	0	0	0	1
25	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
25	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
25	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
26	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
26	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
26	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
26	16	B=[a1,a1,b1+b1]	1	0	0	3	0	2	0	0	0	0	0	0	1
26	16	B=[a1+a1,b1+b1]	1	0	0	1	0	0	1	0	0	0	0	0	1
26	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
26	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
27	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
27	16	A=[a1,a1];B=[b1+b1]	1	1	0	0	2	2	0	0	0	0	0	0	1
27	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
27	16	B=[a1,a1,b1+b1]	1	0	0	3	0	2	0	0	0	0	0	0	1
27	16	B=[a1,a1+b1+b1]	1	0	0	1	0	1	0	0	0	0	1	0	0
27	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
27	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
28	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
28	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
28	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
28	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
28	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
28	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
29	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
29	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
29	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
29	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
29	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
29	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
30	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
30	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
30	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
30	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
30	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
30	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
31	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
31	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
31	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
31	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
31	16	A&B=[a1+b1,a1+b1]	0	0	1	0	0	0	0	0	0	2	0	0	0
31	16	A&B=[a1+b1,a1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
32	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
32	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
32	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
32	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
32	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
32	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
33	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
33	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
33	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
33	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
33	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
33	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
34	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
34	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
34	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
34	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
34	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
34	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
35	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
35	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
35	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
35	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
35	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
35	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
36	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
36	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
36	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
36	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
36	16	A&B=[a1+b1,a1+b1]	0	0	1	0	0	0	0	0	0	2	0	0	0
36	16	A&B=[a1+b1,a1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
37	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
37	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
37	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
37	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
37	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
37	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
38	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
38	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
38	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
38	16	A=[a1];B=[a1+b1+b1]	1	0	0	0	1	1	0	0	0	0	1	0	0
38	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
38	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
39	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
39	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
39	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
39	16	A=[a1];B=[a1+b1+b1]	1	0	0	0	1	1	0	0	0	0	1	0	0
39	16	B=[a1,a1+b1+b1]	1	0	0	1	0	1	0	0	0	0	1	0	0
39	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
39	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
40	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
40	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
40	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
40	16	B=[a1,a1+b1,b1]	1	0	0	3	0	1	0	0	0	1	0	1	0
40	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
40	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
40	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
41	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
41	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
41	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
41	16	B=[a1,a1+b1,b1]	1	0	0	3	0	1	0	0	0	1	0	1	0
41	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
41	16	A&B=[a1+b1,a1+b1]	0	0	1	0	0	0	0	0	0	2	0	0	0
41	16	A&B=[a1+b1,a1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
42	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
42	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
42	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
42	16	B=[a1,a1+b1,b1]	1	0	0	3	0	1	0	0	0	1	0	1	0
42	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
42	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
42	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
43	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
43	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
43	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
43	16	B=[a1,a1+b1,b1]	1	0	0	3	0	1	0	0	0	1	0	1	0
43	16	B=[a1+a1+b1,b1]	1	0	0	1	0	0	0	1	0	0	0	1	0
43	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
43	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
44	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
44	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
44	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
44	16	B=[a1,a1+b1,b1]	1	0	0	3	0	1	0	0	0	1	0	1	0
44	16	B=[a1+b1,a1+b1]	1	0	0	1	0	0	0	0	0	2	0	0	0
44	16	A&B=[a1+b1,a1+b1]	0	0	1	0	0	0	0	0	0	2	0	0	0
44	16	A&B=[a1+b1,a1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
45	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
45	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
45	16	A=[a1];B=[a1+b1,b1]	1	0	0	1	1	1	0	0	0	1	0	1	0
45	16	B=[a1,a1+b1,b1]	1	0	0	3	0	1	0	0	0	1	0	1	0
45	16	B=[a1,a1+b1+b1]	1	0	0	1	0	1	0	0	0	0	1	0	0
45	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
45	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
46	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
46	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
46	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
46	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
46	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
46	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
47	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
47	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
47	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
47	16	A&B=[a1,a1,b1+b1]	0	0	3	0	0	2	0	0	0	0	0	0	1
47	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
47	16	A&B=[a1,a1+b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
48	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
48	16	A=[a1];B=[a1,b1,b1]	1	0	0	3	1	2	0	0	0	0	0	2	0
48	16	A=[a1];B=[a1,b1+b1]	1	0	0	1	1	2	0	0	0	0	0	0	1
48	16	A=[a1];B=[a1+b1+b1]	1	0	0	0	1	1	0	0	0	0	1	0	0
48	16	A&B=[a1,a1+b1+b1]	0	0	1	0	0	1	0	0	0	0	1	0	0
