path_idx	origin	label	A&B	C=A	C=A&B	C=B	M=A>B	a1	a1a1	a1a1a2	a1a1a2a2	a1a2	a1a2a2	a2	a2a2
20	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
20	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
21	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
21	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
21	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
21	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
21	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
21	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
22	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
22	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
22	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
22	25	A=[a2+a2];B=[a1+a1]	1	0	0	0	1	0	1	0	0	0	0	0	1
22	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
22	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
23	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
23	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
23	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
23	25	A=[a2+a2];B=[a1+a1]	1	0	0	0	1	0	1	0	0	0	0	0	1
23	25	B=[a1+a1,a2+a2]	1	0	0	1	0	0	1	0	0	0	0	0	1
23	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
23	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
24	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
24	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
24	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
24	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
24	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
24	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
24	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
25	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
25	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
25	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
25	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
25	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
25	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
25	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
26	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
26	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
26	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
26	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
26	25	A=[a2];B=[a1+a1+a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
26	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
26	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
27	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
27	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
27	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
27	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
27	25	A=[a2];B=[a1+a1+a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
27	25	B=[a1+a1+a2,a2]	1	0	0	1	0	0	0	1	0	0	0	1	0
27	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
27	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
28	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
28	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
28	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
28	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
28	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
28	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
28	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
28	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
29	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
29	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
29	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
29	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
29	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
29	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
29	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
29	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
30	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
30	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
30	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
30	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
30	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
30	25	B=[a1+a1+a2,a2]	1	0	0	1	0	0	0	1	0	0	0	1	0
30	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
30	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
31	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
31	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
31	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
31	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
31	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
31	25	B=[a1+a1,a2+a2]	1	0	0	1	0	0	1	0	0	0	0	0	1
31	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
31	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
32	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
32	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
32	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
32	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
32	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
32	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
33	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
33	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
33	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
33	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
33	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
33	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
34	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
34	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
34	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
34	25	A=[a1+a1+a2];B=[a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
34	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
34	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
35	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
35	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
35	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
35	25	A=[a1+a1+a2];B=[a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
35	25	B=[a1+a1+a2,a2]	1	0	0	1	0	0	0	1	0	0	0	1	0
35	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
35	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
36	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
36	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
36	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
36	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
36	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
36	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
36	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
37	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
37	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
37	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
37	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
37	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
37	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
37	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
38	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
38	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
38	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
38	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
38	25	A=[a2];B=[a1+a1+a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
38	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
38	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
39	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
39	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
39	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
39	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
39	25	A=[a2];B=[a1+a1+a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
39	25	B=[a1+a1+a2,a2]	1	0	0	1	0	0	0	1	0	0	0	1	0
39	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
39	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
40	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
40	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
40	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
40	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
40	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
40	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
40	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
40	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
41	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
41	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
41	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
41	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
41	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
41	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
41	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
41	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
42	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
42	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
42	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
42	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
42	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
42	25	B=[a1+a1+a2,a2]	1	0	0	1	0	0	0	1	0	0	0	1	0
42	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
42	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
43	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
43	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
43	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
43	25	A=[a2];B=[a1+a1,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
43	25	B=[a1+a1,a2,a2]	1	0	0	3	0	0	1	0	0	0	0	2	0
43	25	B=[a1+a1,a2+a2]	1	0	0	1	0	0	1	0	0	0	0	0	1
43	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
43	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
44	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
44	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
44	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
44	25	A=[a1+a1];B=[a2,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
44	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
44	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
44	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
45	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
45	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
45	25	A=[a1+a1,a2];B=[a2]	1	1	0	0	2	0	1	0	0	0	0	2	0
45	25	A=[a1+a1];B=[a2,a2]	1	0	0	1	1	0	1	0	0	0	0	2	0
45	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
